,Category,answer_class,ques,text
287,Практические работы,12,Qs4,Как отправить домашнее задание на платформе для проверки преподавателем?
288,Требования ПО,24,Qs4,Какие программы и инструменты следует использовать для обучения на тестировщика?
289,Трудоустройство,26,Qs4,Как я могу получить помощь в подготовке к собеседованию?
290,Документы,0,Qs4,"Как узнать, какие требования необходимо выполнить для получения сертификата или документа после окончания обучения?"
291,Организация уроков,5,Qs4,"Как я могу узнать, когда и где пройдут следующие трансляции вебинаров?"
292,Портал,17,Qs4,Как я могу изменить настройки уведомлений на вашей платформе?
293,Организация уроков,6,Qs4,Где можно найти информацию о дате публикации расписания?
294,Документы,1,Qs4,"Как получить документ, подтверждающий мои знания и навыки?"
295,Портал,17,Qs4,Как настроить уведомления о предстоящих занятиях на сайте учебного заведения?
296,Документы,4,Qs4,Могу ли я получить диплом в виде сертификата на бумаге?
297,Портал,14,Qs4,"Как найти список курсов, которые я должен пройти для получения сертификата?"
298,Портал,15,Qs4,Какие курсы входят в основное обучение в личном кабинете?
299,Программа обучения,13,Qs4,Какой срок обучения необходим для получения моего сертификата?
300,Требования ПО,23,Qs4,Какие программы и инструменты следует использовать для обучения на программиста?
301,Организация уроков,8,Qs4,Какие темы могут быть рассмотрены во время консультации?
302,Трудоустройство,27,Qs4,Какие консультации предоставляются для помощи с трудоустройством?
303,Программа обучения,20,Qs4,Какие отличия есть в целях и продолжительности программы профессиональной переподготовки и программы повышения квалификации?
304,Организация уроков,7,Qs4,Будут ли уроки включать в себя практические задания и возможность задавать вопросы?
305,Организация уроков,5,Qs4,Какие ресурсы используются для проведения уроков?
306,Трудоустройство,25,Qs4,Какие практики используются для помощи с трудоустройством после окончания обучения?
307,Документы,4,Qs4,Какие процедуры нужно пройти для получения диплома?
308,Портал,18,Qs4,Как добавить контактную информацию в профиль?
309,Практические работы,12,Qs4,Как найти задания для выполнения на сайте учебного заведения?
310,Расписание,22,Qs4,Какие дни в месяце проводятся уроки?
311,Организация уроков,9,Qs4,Как просмотреть запись вебинара?
312,Документы,29,Qs4,Моя налоговая служба отказалась принять договор от учебного заведения. Какие действия следует предпринять?
313,Документы,0,Qs4,После прохождения обучения какой свидетельствующий документ я получу?
314,Перевод/ запись в группу,11,Qs4,С какого момента начинается отсчет срока обучения для возможных переводов или перемещений?
315,Организация уроков,7,Qs4,Как организуется учебный процесс на курсе?
316,Программа обучения,20,Qs4,В чем заключаются ключевые различия между программой профессиональной переподготовки и программой профессионального развития?
317,Портал,16,Qs4,"Необходимо ли проходить все курсы, расположенные в категории ""Отдельные""?"
318,Программа обучения,13,Qs4,"В чем заключаются ключевые различия между программами ""Специалист"" и ""Специалист с опытом""?"
319,Портал,14,Qs4,Как начать проходить курс?
320,Требования ПО,24,Qs4,"Я учащийся на вашей платформе, изучающий специальность ""Тестировщик"". Можете ли вы посоветовать мне программы, которые помогут мне в обучении?"
321,Портал,16,Qs4,"Какие курсы представлены в категории ""Отдельные""?"
322,Перевод/ запись в группу,11,Qs4,Как я могу перейти в другую группу?
323,Трудоустройство,26,Qs4,Как получить поддержку в поиске и устройстве на работу?
324,Требования ПО,23,Qs4,"Какие программные требования нужны для обучения по специальности ""Программист""?"
325,Документы,2,Qs4,Какие документы нужно предоставить для получения аттестата?
326,Портал,14,Qs4,Где на сайте GeekBrains расположен перечень обязательных курсов?
327,Организация уроков,9,Qs4,Где расположены записи архивных вебинаров?
328,Оценки,10,Qs4,"Можно ли пересдать проект, если пропущен дедлайн пересдачи проекта?"
329,Документы,28,Qs4,Можно ли получить налоговую льготу за обучение на вашей платформе?
330,Программа обучения,19,Qs4,Можете ли вы описать процесс обучения в рамках программы?
331,Организация уроков,8,Qs4,Какие форматы учебного процесса используются в обучении?
332,Документы,3,Qs4,Какие стандарты должны быть соблюдены для получения удостоверения?
333,Документы,1,Qs4,Можно ли получить диплом без прохождения промежуточных и итоговых экзаменов?
334,Документы,0,Qs4,Какие аккредитации или удостоверения могут быть выданы после успешного завершения курса?
335,Организация уроков,9,Qs4,"Что делать, если я не смог посетить вебинар?"
336,Расписание,21,Qs4,Будут ли перерывы на праздники в GeekBrains в этом году?
337,Портал,17,Qs4,Как активировать уведомления о вебинарах для моего профиля?
338,Организация уроков,5,Qs4,Как войти на вебинар?
339,Документы,1,Qs4,Как получить подтверждение о прохождении курса обучения?
340,Документы,28,Qs4,Возможно ли получить налоговую отсрочку за обучение на ваших курсах?
341,Портал,18,Qs4,Как обновить информацию о себе в личном кабинете?
342,Практические работы,12,Qs4,Как отправить выполненное задание преподавателю?
343,Документы,29,Qs4,"Какие действия следует предпринять, если налоговая отказывается признавать договор с вашей школой в качестве документа, дающего право на налоговый вычет?"
344,Организация уроков,8,Qs4,Какой формат уроков предусмотрен в моей учебной программе: онлайн или офлайн?
345,Перевод/ запись в группу,11,Qs5,"Какие действия нужно предпринять, чтобы сменить группу или специализацию?"
346,Портал,15,Qs5,Какие компоненты являются основой обучения в личном кабинете?
347,Трудоустройство,27,Qs5,Какие ресурсы и инструменты доступны студентам для помощи в трудоустройстве в вашей школе?
348,Расписание,21,Qs5,Когда будут каникулы в 2024 году?
349,Трудоустройство,25,Qs5,Какие ресурсы и инструменты предлагаются для помощи в поиске работы после окончания учебы?
350,Оценки,10,Qs5,Кто отвечает за проверку моих заданий и проектов?
351,Документы,2,Qs5,Когда я смогу узнать дату получения диплома?
352,Организация уроков,6,Qs5,Какой порядок прохождения курсов является обязательным в программе?
353,Расписание,22,Qs5,Где можно найти актуальное расписание занятий?
354,Документы,3,Qs5,"Когда следует сделать оплату обучения, чтобы получить удостоверение о прохождении курса?"
355,Оценки,10,Qs5,"Как исправить оценку ""не принято"" и получить возможность сдать экзамен или зачет повторно?"
356,Практические работы,12,Qs5,Как загрузить домашнее задание на платформу для оценки преподавателем?
357,Требования ПО,24,Qs5,Какие инструменты и программы необходимы для эффективного обучения на тестировщика?
358,Трудоустройство,26,Qs5,Какие инструменты и ресурсы доступны для помощи в поиске работы?
359,Документы,0,Qs5,Где можно найти информацию о процедуре получения сертификата или документа после окончания обучения?
360,Организация уроков,5,Qs5,Где можно найти ссылки на трансляции вебинаров?
361,Портал,17,Qs5,Как я могу отключить уведомления о новых сообщениях или обновлениях на вашей платформе?
362,Организация уроков,6,Qs5,Как я могу получить уведомление о появлении расписания?
363,Документы,1,Qs5,"Как получить документ, подтверждающий мою квалификацию?"
364,Портал,17,Qs5,Как настроить уведомления о предстоящих уроках в мобильном приложении учебного заведения?
365,Документы,4,Qs5,Можно ли заказать диплом на бумаге?
366,Портал,14,Qs5,"Как найти список курсов, которые необходимо пройти для моего образовательного уровня?"
367,Портал,15,Qs5,Какие занятия входят в основное обучение в личном кабинете?
368,Программа обучения,13,Qs5,Какой срок обучения необходим для завершения моего образования?
369,Требования ПО,23,Qs5,Какие инструменты и программы необходимы для эффективного обучения на программиста?
370,Организация уроков,8,Qs5,Какие преимущества могут быть получены во время консультации?
371,Трудоустройство,27,Qs5,Какие практики используются для помощи с трудоустройством?
372,Программа обучения,20,Qs5,Какие различия есть в методах обучения и продолжительности программы профессиональной переподготовки и программы повышения квалификации?
373,Организация уроков,7,Qs5,"Могу ли я ожидать, что уроки будут включать в себя взаимодействие с другими студентами и возможность задавать вопросы?"
374,Организация уроков,5,Qs5,Какие технологии используются для проведения занятий?
375,Трудоустройство,25,Qs5,Какие консультации предоставляются для помощи с трудоустройством после окончания обучения?
376,Документы,4,Qs5,Какие сроки установлены для получения диплома?
377,Портал,18,Qs5,Как добавить профессиональную информацию в профиль?
378,Практические работы,12,Qs5,Как найти задания для выполнения в учебном портале?
379,Расписание,22,Qs5,Какие дни в семестре проводятся уроки?
380,Организация уроков,9,Qs5,"Как узнать, когда будет опубликована запись вебинара?"
381,Документы,29,Qs5,Налоговая инспекция отказалась заключить договор со школой. Какие рекомендации вы можете дать?
382,Документы,0,Qs5,Какой аттестат будет выдан мне после завершения курса?
383,Перевод/ запись в группу,11,Qs5,От какой даты начинается учет срока обучения для возможных изменений в учебном процессе?
384,Организация уроков,7,Qs5,Как проводятся занятия в рамках курса?
385,Программа обучения,20,Qs5,Какие существенные отличия между программой профессиональной переподготовки и программой дополнительного профессионального образования?
386,Портал,16,Qs5,"Обязательно ли проходить все курсы из категории ""Отдельные""?"
387,Программа обучения,13,Qs5,"Какие существенные отличия существуют между программами ""Специалист"" и ""Специалист с практическим опытом""?"
388,Портал,14,Qs5,Как приступить к прохождению курса?
389,Требования ПО,24,Qs5,"Я студент, изучающий направление ""Тестировщик"" на вашей платформе. Можете ли вы предложить мне программы, которые необходимы для эффективного обучения?"
390,Портал,16,Qs5,"Какие курсы расположены в разделе ""Отдельные курсы""?"
391,Перевод/ запись в группу,11,Qs5,Как перейти в другую группу?
392,Трудоустройство,26,Qs5,Как получить консультацию по поиску работы?
393,Требования ПО,23,Qs5,"Какие программные требования требуются для обучения по специальности ""Программист""?"
394,Документы,2,Qs5,Какие документы требуются для получения аттестата?
395,Портал,14,Qs5,Где на сайте GeekBrains находится список рекомендуемых курсов?
396,Организация уроков,9,Qs5,Где я могу найти записи прошлых вебинаров?
397,Оценки,10,Qs5,"Можно ли переделать проект и сдать его еще раз, если пропущен дедлайн пересдачи проекта?"
398,Документы,28,Qs5,Могу ли я получить налоговую отсрочку за обучение на вашей платформе?
399,Программа обучения,19,Qs5,"Можете ли вы рассказать о методах обучения, используемых в программе?"
400,Организация уроков,8,Qs5,Какие форматы обучения рекомендуются для моей специализации?
401,Документы,3,Qs5,Какие нормы должны быть выполнены для получения удостоверения?
402,Документы,1,Qs5,Можно ли получить диплом без сдачи промежуточных и итоговых экзаменов?
403,Документы,0,Qs5,Какие аккредитации или удостоверения могут быть предоставлены после успешного прохождения программы обучения?
404,Организация уроков,9,Qs5,"Что делать, если я не смог присоединиться к вебинару?"
405,Расписание,21,Qs5,Будут ли паузы в обучении в GeekBrains в этом году?
406,Портал,17,Qs5,Как включить оповещения о вебинарах для моей учетной записи?
407,Организация уроков,5,Qs5,Как присоединиться к вебинару?
408,Документы,1,Qs5,"Что нужно сделать, чтобы получить диплом после обучения?"
409,Документы,28,Qs5,Можно ли получить налоговую льготу за прохождение ваших курсов?
410,Портал,18,Qs5,Как добавить или изменить контактную информацию в своей учетной записи?
411,Практические работы,12,Qs5,Какие варианты сдачи проекта доступны?
412,Документы,29,Qs5,"Как решить проблему, если налоговая отказывается признавать договор с вашей школой в качестве документа, подтверждающего оплату за обучение?"
413,Организация уроков,8,Qs5,"Какой формат занятий используется в моей программе: лекции, семинары, практические занятия или что-то другое?"
414,Перевод/ запись в группу,11,Qs6,Как перевестись в другую группу или сменить специальность в середине учебного процесса?
415,Портал,15,Qs6,Какие составляющие являются основой обучения в личном кабинете?
416,Трудоустройство,27,Qs6,Какие инструменты и ресурсы предоставляются студентам для помощи в поиске работы вашей школой?
417,Расписание,21,Qs6,Можете ли вы подсказать мне расписание каникул на 2024 год?
418,Трудоустройство,25,Qs6,Какие инструменты и ресурсы доступны для помощи в трудоустройстве после окончания обучения?
419,Оценки,10,Qs6,Кто является моим экспертом для сданных работ?
420,Документы,2,Qs6,Когда мне будет выдано официальное подтверждение о завершении обучения?
421,Организация уроков,6,Qs6,Какая последовательность обучения курсов является обязательной в программе?
422,Расписание,22,Qs6,"Как узнать, когда и где проходят мои курсы и лекции?"
423,Документы,3,Qs6,К какому сроку необходимо было оплатить обучение для получения документа о прохождении курса и его успешном завершении?
424,Оценки,10,Qs6,"Как исправить оценку ""не прошел"" или ""не принято"" и получить возможность повторно выполнить задание или проект?"
425,Практические работы,12,Qs6,Как отправить домашнее задание на платформу и получить оценку от преподавателя?
426,Требования ПО,24,Qs6,Какие программы и инструменты следует загрузить для обучения на тестировщика?
427,Трудоустройство,26,Qs6,Как я могу получить помощь в создании резюме и портфолио?
428,Документы,0,Qs6,"Как узнать, какие документы или сертификаты необходимо предоставить для получения сертификата или документа после окончания обучения?"
429,Организация уроков,5,Qs6,"Как я могу узнать, какие вебинары будут транслироваться в ближайшее время?"
430,Портал,17,Qs6,Как я могу отключить уведомления о новых курсах или событиях на вашей платформе?
431,Организация уроков,6,Qs6,Когда можно ожидать обновления расписания?
432,Документы,1,Qs6,"Как получить документ, подтверждающий мою степень образования?"
433,Портал,17,Qs6,Как настроить уведомления о предстоящих занятиях в учебном портале?
434,Документы,4,Qs6,Могу ли я получить диплом в виде официального документа на бумаге?
435,Портал,14,Qs6,"Как найти список курсов, которые я должен пройти для завершения моего образования?"
436,Портал,15,Qs6,Какие материалы входят в основное обучение в личном кабинете?
437,Программа обучения,13,Qs6,Какой срок обучения необходим для прохождения моего курса?
438,Требования ПО,23,Qs6,Какие программы и инструменты следует загрузить для обучения на программиста?
439,Организация уроков,8,Qs6,Какие рекомендации могут быть даны во время консультации?
440,Трудоустройство,27,Qs6,Какие программы и инициативы предлагаются для помощи с трудоустройством?
441,Программа обучения,20,Qs6,Какие отличия есть в требованиях и продолжительности программы профессиональной переподготовки и программы повышения квалификации?
442,Организация уроков,7,Qs6,Будут ли уроки включать в себя интерактивные презентации и возможность задавать вопросы?
443,Организация уроков,5,Qs6,Какие форматы используются для проведения уроков?
444,Трудоустройство,25,Qs6,Какие программы и инициативы предлагаются для помощи с трудоустройством после окончания обучения?
445,Документы,4,Qs6,Какие контакты нужно использовать для получения диплома?
446,Портал,18,Qs6,Как добавить образовательную информацию в профиль?
447,Практические работы,12,Qs6,Как найти задания для выполнения в мобильном приложении учебного заведения?
448,Расписание,22,Qs6,Какие дни в учебном году проводятся уроки?
449,Организация уроков,9,Qs6,Как получить уведомление о появлении записи вебинара?
450,Документы,29,Qs6,Моя налоговшая служба отказалась принять договор от учебного заведения. Какие варианты решения проблемы есть?
451,Документы,0,Qs6,После окончания обучения какой документ подтверждающий мои знания мне выдадут?
452,Перевод/ запись в группу,11,Qs6,С какого момента начинается отсчет срока обучения для возможных изменений в учебном графике?
453,Организация уроков,7,Qs6,Как происходит обучение в рамках курса?
454,Программа обучения,20,Qs6,В чем заключаются основные различия между программой профессиональной переподготовки и программой профессиональной переподготовки и повышения квалификации?
455,Портал,16,Qs6,"Требуется ли проходить все курсы, представленные в разделе ""Отдельные курсы""?"
456,Программа обучения,13,Qs6,"В чем заключаются основные различия между программами ""Специалист"" и ""Опытный специалист""?"
457,Портал,14,Qs6,Как начать проходить обучение?
458,Требования ПО,24,Qs6,"Я учащийся на вашей платформе, изучающий специальность ""Тестировщик"". Можете ли вы рекомендовать мне программы, которые помогут мне в эффективном обучении и приобретении навыков тестировщика?"
459,Портал,16,Qs6,"Какие курсы представлены в разделе ""Отдельные курсы""?"
460,Перевод/ запись в группу,11,Qs6,Как мне перевестись в другую учебную группу?
461,Трудоустройство,26,Qs6,Как получить помощь в поиске и устройстве на подходящую работу?
462,Требования ПО,23,Qs6,"Какие программные требования необходимы для эффективного обучения по специальности ""Программист""?"
463,Документы,2,Qs6,Какие документы необходимо предоставить для получения сертификата о прохождении курса?
464,Портал,14,Qs6,"Где на сайте GeekBrains я могу найти список курсов, рекомендуемых для моей специализации?"
465,Организация уроков,9,Qs6,Где расположены записи прошлых вебинаров?
466,Оценки,10,Qs6,"Можно ли пересдать курсовую работу, если пропущен срок пересдачи курсовой работы?"
467,Документы,28,Qs6,Можно ли получить налоговую оптимизацию за обучение на вашей платформе?
468,Программа обучения,19,Qs6,Можете ли вы описать систему оценивания и контроля знаний в рамках программы обучения?
469,Организация уроков,8,Qs6,Какие форматы обучения лучше подходят для моего учебного стиля и предпочтений?
470,Документы,3,Qs6,Какие условия и требования должны быть выполнены для получения удостоверения о прохождении курса или программы обучения?
471,Документы,1,Qs6,Можно ли получить диплом без прохождения промежуточных и итоговых оценок?
472,Документы,0,Qs6,Какие аккредитации или удостоверения могут быть получены после получения сертификата о прохождении курса или программы обучения?
473,Организация уроков,9,Qs6,"Что делать, если я не смог принять участие в вебинаре?"
474,Расписание,21,Qs6,Будут ли длительные перерывы в обучении в GeekBrains в этом году?
475,Портал,17,Qs6,Как активировать уведомления о мероприятиях для моего аккаунта?
476,Организация уроков,5,Qs6,Как прийти на мероприятие?
477,Документы,1,Qs6,Какие действия необходимо выполнить для получения аттестата об окончании курса?
478,Документы,28,Qs6,Есть ли возможность получить налоговую скидку за обучение на ваших курсах?
479,Портал,18,Qs6,Как изменить свои личные данные в личном кабинете?
480,Практические работы,12,Qs6,Какие способы сдачи контрольной работы предусмотрены?
481,Документы,29,Qs6,"Что делать, если налоговая отказывается признавать договор с вашей школой в качестве документа, необходимого для получения налоговых льгот?"
482,Организация уроков,8,Qs6,Какой формат уроков предусмотрен в моей программе: синхронные или асинхронные занятия?
483,Перевод/ запись в группу,11,Question,"Что делать, если я хочу изменить группу или специализацию во время обучения?"
484,Портал,15,Question,Из чего состоит основное обучение в личном кабинете?
485,Трудоустройство,27,Question,Что входит в программу помощи с трудоустройством вашей школы? Какие инструменты или ресурсы будут предоставлены студентам?
486,Расписание,21,Question,"Подскажите расписание каникул в 2024, пожалуйста"
487,Трудоустройство,25,Question,Какие инструменты и ресурсы вы предоставляете для поиска работы после окончания обучения?
488,Оценки,10,Question,Кто проверяет мои сданные работы?
489,Документы,2,Question,Когда я получу диплом?
490,Организация уроков,6,Question,Какая последовательность курсов в программе?
491,Расписание,22,Question,Где можно найти информацию о расписании курсов и лекций?
492,Документы,3,Question,"Когда нужно было оплатить обучение, чтобы получить удостоверение?"
493,Оценки,10,Question,"Как исправить оценку ""не принято""?"
494,Практические работы,12,Question,Как сдать домашнее задание на платформе?
495,Требования ПО,24,Question,Какие программы и инструменты мне нужны для обучения на тестировщике?
496,Трудоустройство,26,Question,Как я могу получить помощь с трудоустройством?
497,Документы,0,Question,Где можно узнать о документах или сертификатах после завершения обучения?
498,Организация уроков,5,Question,Где проходят трансляции веинаров?
499,Портал,17,Question,Я не хочу получать увемдомления от вашей платформы. Как их отключить?
500,Организация уроков,6,Question,Когда появится рассписание?
501,Документы,1,Question,Как получить итоговый документ об образовании?
502,Портал,17,Question,Как настроить уведомления о предстоящих уроках в моем профиле?
503,Документы,4,Question,Могу ли я получилить диплом на бумаге?
504,Портал,14,Question,"Как найти список курсов, которые я должен проходить в рамках моего обучения?"
505,Портал,15,Question,Что входит в подготовку в основном обучении в ЛК?
506,Программа обучения,13,Question,Сколько я буду учиться?
507,Требования ПО,23,Question,Какие программы и инструменты мне нужны для обучения на программисте?
508,Организация уроков,8,Question,Что представляет собой консультация?
509,Трудоустройство,27,Question,Что включает в себя помощь с трудоустройством?
510,Программа обучения,20,Question,В чем заключается разница в структуре и длительности между программой профессиональной переподготовки и программой повышения квалификации?
511,Организация уроков,7,Question,"Могу ли я ожидать, что уроки будут интерактивными и включать в себя возможность задавать вопросы?"
512,Организация уроков,5,Question,Где проходят уроки?
513,Трудоустройство,25,Question,"В вашей программе обучения включены мероприятия или ресурсы, помогающие с трудоустройством после обучения?
"
514,Документы,4,Question,Как забрать диплом?
515,Портал,18,Question,Как добавить информацию о себе в профиль?
516,Практические работы,12,Question,Где мне найти задание для выполнения?
517,Расписание,22,Question,В какие дни проходят уроки?
518,Организация уроков,9,Question,Когда появится запись вебинара?
519,Документы,29,Question,"Моя налоговая служба отказывается принимать договор с вашей школы. Как мне поступить?
"
520,Документы,0,Question,Какой документ я получу после обучения?
521,Перевод/ запись в группу,11,Question,От какой даты начинается отсчет срока обучения для возможных переводов?
522,Организация уроков,7,Question,Как проходят занятия на курсе?
523,Программа обучения,20,Question,Какие основные различия между программой профессиональной переподготовки и программой повышения квалификации?
524,Портал,16,Question,Курсы во вкладке Отдельные нужно обязательно проходить?
525,Программа обучения,13,Question,"В чем разница между программами ""Специалист"" и
""Специалист с опытом""?"
526,Портал,14,Question,Как начать учиться?
527,Требования ПО,24,Question,"Я студент, изучающий специализацию ""Тестировщик"" на вашей платформе. Можете ли вы подсказать, какие программы мне следует установить для эффективного обучения?"
528,Портал,16,Question,"Что представляют собой курсы, которые находятся во вкладке ""Отдельные""?"
529,Перевод/ запись в группу,11,Question,"Я хочу перевестись в другую группу, как мне это сделать?"
530,Трудоустройство,26,Question,Как получить помощь с трудоустройством?
531,Требования ПО,23,Question,"Мне бы хотелось узнать, какие программные требования необходимы для специализации Программист?"
532,Документы,2,Question,Какие документы мне нужно предоставить для получения диплома?
533,Портал,14,Question,"Где на сайте GeekBrains я могу найти список курсов, которые я должен проходить?"
534,Организация уроков,9,Question,Где я могу найти записи прошедших вебинаров?
535,Оценки,10,Question,"Можно ли пересдать работу еще раз, если я пропустил дедлайн пересдачи?"
536,Документы,28,Question,Могу ли я получить налоговый вычет с вашего обучения?
537,Программа обучения,19,Question,"Можете рассказать подробнее о том, как устроена программа обучения?"
538,Организация уроков,8,Question,Какие есть форматы обучения?
539,Документы,3,Question,При каких условиях я могу получить удостоверение?
540,Документы,1,Question,Можно ли получить диплом не сдавая промежуточные и итоговые аттестиции?
541,Документы,0,Question,Какие аккредитации или удостоверения я могу ожидать получить по завершении обучения?
542,Организация уроков,9,Question,"Что делать, если я не смог прийти на онлайн урок?"
543,Расписание,21,Question,Будут ли каникулы в GB в этом году?
544,Портал,17,Question,Как включить уведомления об уроках для моего аккаунта?
545,Организация уроков,5,Question,Как попасть на урок?
546,Документы,1,Question,"Что нужно сделать, чтобы получить документ после обучения?"
547,Документы,28,Question,Возможно ли получить налоговый вычет за прохождение ваших курсов?
548,Портал,18,Question,Как я могу внести информацию о себе в мою учетную запись?
549,Практические работы,12,Question,Какие варианты сдачи задания доступны?
550,Документы,29,Question,"Какие действия нужно предпринять, если налоговая отказывается принять договор с вашей школой?
"
551,Организация уроков,8,Question,Какой формат уроков на моей программе?
